Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,1,Aaron Ramsdale
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,2,William Saliba
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,4,Ben White
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,6,Gabriel Magalhães
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,7,Bukayo Saka
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,8,Martin Ødegaard
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,15,Jakub Kiwior
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,19,Leandro Trossard
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,20,Jorginho
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,29,Kai Havertz
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Starter,41,Declan Rice
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,31,Karl Jakob Hein
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,5,Thomas Partey
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,9,Gabriel Jesus
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,10,Emile Smith Rowe
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,14,Eddie Nketiah
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,17,Cédric Soares
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,21,Fabio Vieira
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,24,Reiss Nelson
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,4-3-3,Bench,35,Oleksandr Zinchenko
