Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Leandro Trossard,19,be BEL,FW,29-096,78,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Reiss Nelson,24,eng ENG,"FW,MF",24-090,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Kai Havertz,29,de GER,FW,24-272,90,1,0,0,0,4,2,1,0,1,1,1,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Bukayo Saka,7,eng ENG,FW,22-186,90,0,0,0,0,3,0,0,0,1,1,0,11,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Declan Rice,41,eng ENG,CM,25-055,90,1,0,0,0,3,1,0,0,0,0,0,5,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Jorginho,20,it ITA,CM,32-080,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Gabriel Jesus,9,br BRA,"FW,MF",26-341,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Martin Ødegaard,8,no NOR,CM,25-083,89,0,0,0,0,3,0,0,0,1,0,0,3,1,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Thomas Partey,5,gh GHA,"DF,MF",30-270,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Jakub Kiwior,15,pl POL,LB,24-023,78,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Oleksandr Zinchenko,35,ua UKR,"DF,MF",27-085,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Gabriel Magalhães,6,br BRA,CB,26-081,90,0,0,0,0,2,1,1,0,2,3,0,0,2,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,William Saliba,2,fr FRA,CB,22-351,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Ben White,4,eng ENG,RB,26-153,90,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,,
0e9002ec,https://fbref.com/en/matches/0e9002ec/Arsenal-Brentford-March-9-2024-Premier-League,2024-03-09,Premier League,Matchweek 28,Home,Brentford,W,2024-03-09_premier_league_brentford,Arsenal,Aaron Ramsdale,1,eng ENG,GK,25-300,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
