Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Leandro Trossard,19,be BEL,FW,29-160,65,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Gabriel Martinelli,11,br BRA,"FW,MF",22-329,25,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Kai Havertz,29,de GER,FW,24-336,90,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Bukayo Saka,7,eng ENG,FW,22-250,81,0,0,0,0,2,1,1,0,2,2,0,6,1,1,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Gabriel Jesus,9,br BRA,"FW,MF",27-039,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Declan Rice,41,eng ENG,CM,25-119,90,0,0,0,0,2,1,0,0,1,0,0,1,2,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Thomas Partey,5,gh GHA,CM,30-334,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Jakub Kiwior,15,pl POL,"DF,MF",24-087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Martin Ødegaard,8,no NOR,CM,25-147,89,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Jorginho,20,it ITA,MF,32-144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Takehiro Tomiyasu,18,jp JPN,LB,25-189,90,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Gabriel Magalhães,6,br BRA,CB,26-145,90,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,William Saliba,2,fr FRA,CB,23-049,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,Ben White,4,eng ENG,RB,26-217,90,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,,
ab9827f2,https://fbref.com/en/matches/ab9827f2/Manchester-United-Arsenal-May-12-2024-Premier-League,2024-05-12,Premier League,Matchweek 37,Away,Manchester Utd,W,2024-05-12_premier_league_manchester_utd,Arsenal,David Raya,22,es ESP,GK,28-240,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
