Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Gabriel Magalhães,brBRA,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Ramsdale,engENG,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Declan Rice,engENG,MF,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bukayo Saka,engENG,FW,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
William Saliba,frFRA,DF,22,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,engENG,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Ødegaard,noNOR,MF,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kai Havertz,deGER,FW,24,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Kiwior,plPOL,DF,23,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorginho,itITA,MF,31,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Reiss Nelson,engENG,FW,23,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Martinelli,brBRA,"FW,MF",22,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eddie Nketiah,engENG,FW,24,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emile Smith Rowe,engENG,MF,23,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Leandro Trossard,beBEL,"FW,MF",28,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ethan Nwaneri,engENG,MF,16,0,0,,,,,,,,,,,,,,,,Matches
David Raya,esESP,GK,27,0,0,,,,,,,,,,,,,,,,Matches
Cédric Soares,ptPOR,"DF,MF",31,0,0,,,,,,,,,,,,,,,,Matches
Lino Sousa,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Reuell Walters,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
