season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-08-12,,281
2023-2024,18929,D. McNeil,Everton,Missing Fixture,Ankle Injury,2023-08-12,,14
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-08-12,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-08-20,,281
2023-2024,18929,D. McNeil,Everton,Missing Fixture,Ankle Injury,2023-08-20,,14
2023-2024,19128,J. Harrison,Everton,Missing Fixture,Injury,2023-08-20,,273
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-08-20,,259
2023-2024,1455,A. Iwobi,Everton,Missing Fixture,Thigh Injury,2023-08-26,,0
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-08-26,,281
2023-2024,18766,D. Calvert-Lewin,Everton,Missing Fixture,Head Injury,2023-08-26,,0
2023-2024,18929,D. McNeil,Everton,Missing Fixture,Ankle Injury,2023-08-26,,14
2023-2024,19128,J. Harrison,Everton,Missing Fixture,Injury,2023-08-26,,273
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-08-26,,259
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-09-02,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-09-02,,281
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-09-02,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-09-17,,281
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-09-17,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-09-23,,281
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-09-23,,259
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-09-30,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-09-30,,281
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Knee Injury,2023-09-30,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-10-07,,281
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-10-21,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-10-29,,161
2023-2024,894,A. Young,Everton,Missing Fixture,Red Card,2023-10-29,,62
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-10-29,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-11-04,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-11-04,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-11-11,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-11-11,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-11-26,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-11-26,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2023-12-02,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-02,,281
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-07,,281
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-10,,281
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-16,,281
2023-2024,434410,I. Gueye,Everton,Missing Fixture,Yellow Cards,2023-12-16,,45
2023-2024,17661,J. Branthwaite,Everton,Missing Fixture,Yellow Cards,2023-12-16,,0
2023-2024,18805,A. Doucoure,Everton,Missing Fixture,Thigh Injury,2023-12-23,,38
2023-2024,894,A. Young,Everton,Missing Fixture,Injury,2023-12-23,,62
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-23,,281
2023-2024,18758,S. Coleman,Everton,Missing Fixture,Injury,2023-12-23,,259
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-27,,281
2023-2024,434410,I. Gueye,Everton,Missing Fixture,Injury,2023-12-27,,45
2023-2024,894,A. Young,Everton,Missing Fixture,Injury,2023-12-30,,62
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2023-12-30,,281
2023-2024,434410,I. Gueye,Everton,Missing Fixture,Injury,2023-12-30,,45
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-01-14,,281
2023-2024,434410,I. Gueye,Everton,Missing Fixture,National selection,2024-01-14,,45
2023-2024,18805,A. Doucoure,Everton,Missing Fixture,Thigh Injury,2024-01-30,,38
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2024-01-30,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-01-30,,281
2023-2024,434410,I. Gueye,Everton,Missing Fixture,National selection,2024-01-30,,45
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2024-02-03,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-02-03,,281
2023-2024,18765,A. Gomes,Everton,Missing Fixture,Calf Injury,2024-02-10,,161
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-02-10,,281
2023-2024,83,A. Danjuma,Everton,Missing Fixture,Ankle Injury,2024-02-19,,42
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-02-19,,281
2023-2024,83,A. Danjuma,Everton,Missing Fixture,Ankle Injury,2024-02-24,,42
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-02-24,,281
2023-2024,83,A. Danjuma,Everton,Missing Fixture,Ankle Injury,2024-03-02,,42
2023-2024,172,D. Alli,Everton,Missing Fixture,Muscle Injury,2024-03-02,,281
2023-2024,83,A. Danjuma,Everton,Missing Fixture,Ankle Injury,2024-03-09,,42
