Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,31,Ederson
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,2,Kyle Walker
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,3,Rúben Dias
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,6,Nathan Aké
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,8,Mateo Kovačić
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,10,Jack Grealish
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,16,Rodri
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,19,Julián Álvarez
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,20,Bernardo Silva
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,24,Joško Gvardiol
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Starter,47,Phil Foden
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,18,Stefan Ortega
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,33,Scott Carson
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,4,Kalvin Phillips
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,5,John Stones
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,21,Sergio Gómez
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,25,Manuel Akanji
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,27,Matheus Nunes
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,52,Oscar Bobb
f6155857,https://fbref.com/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,2023-12-10,Premier League,Matchweek 16,Away,Luton Town,W,2023-12-10_premier_league_luton_town,Manchester City,4-2-3-1,Bench,82,Rico Lewis
