Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Erling Haaland,noNOR,"FW,MF",23,9,9,776,8.6,6,1,7,4,2,2,0,0,0.70,0.12,0.81,0.46,0.58,Matches
Rúben Dias,ptPOR,"DF,MF",26,9,9,765,8.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rodri,esESP,"MF,DF",27,8,8,696,7.7,1,2,3,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,Matches
Jack Grealish,engENG,"MF,FW",27,8,8,530,5.9,0,2,2,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches
Phil Foden,engENG,MF,23,8,7,681,7.6,5,4,9,5,0,0,0,0,0.66,0.53,1.19,0.66,1.19,Matches
Manuel Akanji,chSUI,"DF,MF",28,8,7,665,7.4,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
Ederson,brBRA,GK,29,7,7,660,7.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joško Gvardiol,hrCRO,DF,21,6,6,569,6.3,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
Rico Lewis,engENG,"DF,MF",18,7,6,548,6.1,0,3,3,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches
Bernardo Silva,ptPOR,MF,28,8,6,534,5.9,2,0,2,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches
Kyle Walker,engENG,"MF,DF",33,6,6,503,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić,hrCRO,MF,29,6,5,433,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matheus Nunes,ptPOR,MF,24,7,5,422,4.7,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
John Stones,engENG,DF,29,6,4,341,3.8,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
Nathan Aké,nlNED,DF,28,7,3,384,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Ortega,deGER,GK,30,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Julián Álvarez,arARG,MF,23,7,2,282,3.1,5,2,7,5,0,0,0,0,1.60,0.64,2.23,1.60,2.23,Matches
Oscar Bobb,noNOR,"MF,FW",20,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
Kevin De Bruyne,beBEL,MF,32,2,2,201,2.2,2,2,4,2,0,0,0,0,0.90,0.90,1.79,0.90,1.79,Matches
Sergio Gómez,esESP,DF,22,5,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jeremy Doku,beBEL,MF,21,7,1,304,3.4,1,1,2,1,0,0,0,0,0.30,0.30,0.59,0.30,0.59,Matches
Kalvin Phillips,engENG,MF,27,4,1,129,1.4,1,0,1,0,1,1,1,0,0.70,0.00,0.70,0.00,0.00,Matches
Micah Hamilton,engENG,MF,19,2,1,107,1.2,1,0,1,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,Matches
Mahamadou Susoho,esESP,MF,18,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jacob Wright,engENG,MF,17,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Max Alleyne,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Scott Carson,engENG,GK,37,0,0,,,,,,,,,,,,,,,,Matches
True Grant,engENG,GK,17,0,0,,,,,,,,,,,,,,,,Matches
