Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Manuel Akanji,chSUI,DF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,nlNED,DF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ederson,brBRA,GK,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Phil Foden,engENG,MF,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jack Grealish,engENG,MF,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joško Gvardiol,hrCRO,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Erling Haaland,noNOR,FW,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić,hrCRO,MF,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rodri,esESP,MF,27,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
Kyle Walker,engENG,DF,33,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cole Palmer,engENG,MF,21,1,1,84,0.9,1,0,1,1,0,0,0,0,1.07,0.00,1.07,1.07,1.07,Matches
Julián Álvarez,arARG,"FW,MF",23,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oscar Bobb,noNOR,"FW,MF",20,0,0,,,,,,,,,,,,,,,,Matches
Scott Carson,engENG,GK,37,0,0,,,,,,,,,,,,,,,,Matches
Rúben Dias,ptPOR,"DF,MF",26,0,0,,,,,,,,,,,,,,,,Matches
Sergio Gómez,esESP,"DF,MF",22,0,0,,,,,,,,,,,,,,,,Matches
Aymeric Laporte,esESP,DF,29,0,0,,,,,,,,,,,,,,,,Matches
Rico Lewis,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
James Mcatee,engENG,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Stefan Ortega,deGER,GK,30,0,0,,,,,,,,,,,,,,,,Matches
Máximo Perrone,arARG,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Kalvin Phillips,engENG,"DF,MF",27,0,0,,,,,,,,,,,,,,,,Matches
John Stones,engENG,DF,29,0,0,,,,,,,,,,,,,,,,Matches
