Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Anthony Martial,9,fr FRA,FW,27-264,59,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Jadon Sancho,25,eng ENG,"FW,MF",23-154,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Marcus Rashford,10,eng ENG,AM,25-299,90,0,1,0,0,2,1,1,0,1,1,0,1,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Bruno Fernandes,8,pt POR,AM,28-352,90,1,1,1,1,6,3,1,0,3,2,0,11,1,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Antony,21,br BRA,AM,23-183,84,0,0,0,0,4,2,0,0,1,3,0,1,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Scott McTominay,39,sct SCO,MF,26-261,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Christian Eriksen,14,dk DEN,DM,31-193,90,1,0,0,0,1,1,0,0,1,0,0,4,1,1,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Casemiro,18,br BRA,DM,31-184,90,1,0,0,0,4,2,0,0,0,0,1,0,2,1,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Diogo Dalot,20,pt POR,LB,24-161,90,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Lisandro Martínez,6,ar ARG,CB,25-220,90,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Raphaël Varane,19,fr FRA,CB,30-123,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Victor Lindelöf,2,se SWE,DF,29-040,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,Aaron Wan-Bissaka,29,cd COD,RB,25-273,90,0,0,0,0,0,0,1,0,1,0,0,2,3,2,0,,
70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,André Onana,24,cm CMR,GK,27-146,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,
