Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Rasmus Højlund,11,dk DEN,FW,20-245,90,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Marcus Rashford,10,eng ENG,AM,25-341,62,0,0,0,0,3,1,0,0,0,1,0,2,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Alejandro Garnacho,17,ar ARG,MF,19-098,28,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Mason Mount,7,eng ENG,AM,24-270,62,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Antony,21,br BRA,"FW,MF",23-225,28,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Bruno Fernandes,8,pt POR,AM,29-029,90,0,0,0,0,4,2,0,0,0,2,2,11,1,1,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Sofyan Amrabat,4,ma MAR,DM,27-047,86,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Scott McTominay,39,sct SCO,MF,26-303,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Casemiro,18,br BRA,DM,31-226,45,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Christian Eriksen,14,dk DEN,MF,31-235,45,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Victor Lindelöf,2,se SWE,LB,29-082,70,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Anthony Martial,9,fr FRA,"FW,MF",27-306,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Jonny Evans,35,nir NIR,CB,35-277,90,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Harry Maguire,5,eng ENG,CB,30-216,90,0,1,0,0,0,0,0,0,2,1,1,2,0,2,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,Diogo Dalot,20,pt POR,RB,24-203,90,0,0,0,0,2,1,0,0,1,1,0,7,0,2,0,,
5006142a,https://fbref.com/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,2023-10-07,Premier League,Matchweek 8,Home,Brentford,W,2023-10-07_premier_league_brentford,Manchester Utd,André Onana,24,cm CMR,GK,27-188,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
