Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Rasmus Højlund,11,dk DEN,FW,20-280,78,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Anthony Martial,9,fr FRA,"FW,MF",27-341,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Alejandro Garnacho,17,ar ARG,AM,19-133,67,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Antony,21,br BRA,"FW,MF",23-260,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Bruno Fernandes,8,pt POR,AM,29-064,90,0,0,0,0,4,0,0,0,1,0,0,12,2,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Marcus Rashford,10,eng ENG,AM,26-011,90,0,0,0,0,2,1,0,0,0,2,0,4,0,1,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Christian Eriksen,14,dk DEN,DM,31-270,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Mason Mount,7,eng ENG,MF,24-305,51,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Scott McTominay,39,sct SCO,DM,26-338,90,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Sergio Reguilón,15,es ESP,LB,26-330,78,0,0,0,0,1,0,0,0,2,2,1,8,3,1,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Raphaël Varane,19,fr FRA,"DF,MF",30-200,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Victor Lindelöf,2,se SWE,CB,29-117,90,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Harry Maguire,5,eng ENG,CB,30-251,90,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,Diogo Dalot,20,pt POR,RB,24-238,90,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,,
4b9f3f25,https://fbref.com/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Luton Town,W,2023-11-11_premier_league_luton_town,Manchester Utd,André Onana,24,cm CMR,GK,27-223,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
