Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Rasmus Højlund,11,dk DEN,FW,20-338,89,0,0,0,0,4,2,0,0,1,1,0,0,1,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Hannibal Mejbri,46,tn TUN,MF,20-352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Marcus Rashford,10,eng ENG,AM,26-069,89,0,1,0,0,8,4,0,0,1,0,0,3,0,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Omari Forson,62,eng ENG,MF,19-172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Bruno Fernandes,8,pt POR,AM,29-122,90,1,0,1,1,6,2,0,0,1,1,0,12,0,1,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Alejandro Garnacho,17,ar ARG,AM,19-191,86,0,0,0,0,4,2,0,0,1,1,1,6,1,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Facundo Pellistri,28,uy URU,"FW,MF",22-019,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Kobbie Mainoo,37,eng ENG,DM,18-264,90,0,0,0,0,1,1,0,0,1,0,0,0,6,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Scott McTominay,39,sct SCO,DM,27-031,90,0,0,0,0,6,2,0,0,3,0,0,0,2,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Diogo Dalot,20,pt POR,LB,24-296,82,1,0,0,0,2,1,0,0,0,0,0,1,1,1,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Willy Kambwala,53,fr FRA,DF,19-136,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Jonny Evans,35,nir NIR,CB,36-005,90,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Raphaël Varane,19,fr FRA,CB,30-258,90,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,Aaron Wan-Bissaka,29,cd COD,RB,26-043,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
aef31200,https://fbref.com/en/matches/aef31200/Wigan-Athletic-Manchester-United-January-8-2024-FA-Cup,2024-01-08,FA Cup,Third round proper,Away,Wigan Athletic,W,2024-01-08_fa_cup_wigan_athletic,Manchester Utd,André Onana,24,cm CMR,GK,27-281,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
