Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-222,89,0,0,0,0,0,0,1,0,1,4,0,0,3,1,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Matt Targett,13,eng ENG,"DF,MF",28-016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Alexander Isak,14,se SWE,FW,24-013,90,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Miguel Almirón,24,py PAR,FW,29-236,70,1,0,0,0,2,1,0,0,1,2,0,0,2,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Jacob Murphy,23,eng ENG,"DF,FW",28-222,20,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Sandro Tonali,8,it ITA,CM,23-149,64,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Elliot Anderson,32,eng ENG,MF,20-332,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Bruno Guimarães,39,br BRA,CM,25-322,90,0,1,0,0,2,2,1,0,1,3,0,0,2,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Sean Longstaff,36,eng ENG,CM,25-339,90,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Dan Burn,33,eng ENG,LB,31-148,90,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Fabian Schär,5,ch SUI,CB,31-288,90,1,0,0,0,2,1,0,0,0,0,0,0,2,2,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Jamaal Lascelles,6,eng ENG,CB,29-327,90,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Kieran Trippier,2,eng ENG,RB,33-015,90,0,1,0,0,1,0,0,0,1,0,0,4,0,2,0,,
4d5a6bf1,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,2023-10-04,Champions Lg,Group stage,Home,frParis Saint-Germain,W,2023-10-04_champions_lg_frparis_saint_germain,Newcastle United,Nick Pope,22,eng ENG,GK,31-168,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
