Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-316,89,0,0,0,0,1,0,1,0,3,4,0,2,0,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Matt Ritchie,11,sct SCO,"DF,MF",34-118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Alexander Isak,14,se SWE,FW,24-107,90,2,0,1,1,2,2,0,0,2,1,0,0,0,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Miguel Almirón,24,py PAR,FW,29-330,89,0,1,0,0,2,0,0,0,2,1,1,1,8,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Valentino Livramento,21,eng ENG,"DF,MF",21-055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Joelinton,7,br BRA,CM,27-145,46,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Lewis Miley,67,eng ENG,MF,17-250,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Bruno Guimarães,39,br BRA,CM,26-051,90,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Sean Longstaff,36,eng ENG,CM,26-068,90,0,0,0,0,3,1,0,0,2,0,0,1,1,0,0,,
1d0dd0a3,https://fbref.com/en/matches/1d0dd0a3/Sunderland-Newcastle-United-January-6-2024-FA-Cup,2024-01-06,FA Cup,Third round proper,Away,Sunderland,W,2024-01-06_fa_cup_sunderland,Newcastle United,Dan Burn,33,eng ENG,LB,31-242,89,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,
