Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Harvey Barnes,15,eng ENG,FW,26-126,87,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Lewis Hall,20,eng ENG,"DF,MF",19-218,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Alexander Isak,14,se SWE,FW,24-205,90,2,0,0,0,6,2,0,0,1,1,1,0,0,0,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Anthony Gordon,10,eng ENG,FW,23-049,90,1,2,0,0,2,1,0,0,1,2,0,18,1,2,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Elliot Anderson,32,eng ENG,CM,21-159,88,0,0,0,0,5,1,0,0,2,2,0,3,1,1,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Matt Ritchie,11,sct SCO,"DF,MF",34-216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Bruno Guimarães,39,br BRA,CM,26-149,89,0,1,0,0,0,0,0,0,3,1,0,1,4,1,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Joe White,40,eng ENG,MF,21-195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Sean Longstaff,36,eng ENG,CM,26-166,90,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,,
50db3243,https://fbref.com/en/matches/50db3243/Newcastle-United-Tottenham-Hotspur-April-13-2024-Premier-League,2024-04-13,Premier League,Matchweek 33,Home,Tottenham Hotspur,W,2024-04-13_premier_league_tottenham_hotspur,Newcastle United,Dan Burn,33,eng ENG,LB,31-340,90,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,,
