team_id,club_name,stadium,where_they_play
1,Arsenal,Unknown,Unknown
2,Aston Villa,Unknown,Unknown
3,Blackburn Rovers,Unknown,Unknown
4,Bournemouth,Unknown,Unknown
5,Brentford,Unknown,Unknown
6,Brighton,Unknown,Unknown
7,Burnley,Unknown,Unknown
8,Chelsea,Unknown,Unknown
9,Crystal Palace,Unknown,Unknown
10,Everton,Unknown,Unknown
11,Fulham,Unknown,Unknown
12,Liverpool,Unknown,Unknown
13,Luton Town,Unknown,Unknown
14,Manchester City,Unknown,Unknown
15,Manchester Utd,Unknown,Unknown
16,Nottingham Forest,Unknown,Unknown
17,Sheffield United,Unknown,Unknown
18,Sunderland,Unknown,Unknown
19,Tottenham Hotspur,Unknown,Unknown
20,West Ham United,Unknown,Unknown
21,Wolves,Unknown,Unknown
22,deDortmund,Unknown,Unknown
23,frParis Saint-Germain,Unknown,Unknown
24,itMilan,Unknown,Unknown
