Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Bruno Guimarães,brBRA,MF,25,37,37,"3,263",36.3,7,8,15,7,0,0,9,0,0.19,0.22,0.41,0.19,0.41,Matches
Fabian Schär,chSUI,DF,31,36,35,"3,054",33.9,4,1,5,4,0,0,5,0,0.12,0.03,0.15,0.12,0.15,Matches
Anthony Gordon,engENG,FW,22,35,34,"2,890",32.1,11,10,21,10,1,1,12,1,0.34,0.31,0.65,0.31,0.62,Matches
Dan Burn,engENG,DF,31,33,32,"2,726",30.3,2,2,4,2,0,0,4,0,0.07,0.07,0.13,0.07,0.13,Matches
Sean Longstaff,engENG,MF,25,35,30,"2,747",30.5,6,2,8,6,0,0,7,0,0.20,0.07,0.26,0.20,0.26,Matches
Alexander Isak,seSWE,FW,23,30,27,"2,255",25.1,21,2,23,16,5,6,1,0,0.84,0.08,0.92,0.64,0.72,Matches
Kieran Trippier,engENG,DF,32,28,26,"2,236",24.8,1,10,11,1,0,0,5,0,0.04,0.40,0.44,0.04,0.44,Matches
Miguel Almirón,pyPAR,FW,29,33,23,"1,937",21.5,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,Matches
Martin Dúbravka,skSVK,GK,34,23,22,"1,985",22.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sven Botman,nlNED,DF,23,17,15,"1,377",15.3,2,2,4,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
Nick Pope,engENG,GK,31,15,15,"1,345",14.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Joelinton,brBRA,"MF,FW",26,20,15,"1,279",14.2,2,1,3,2,0,0,6,0,0.14,0.07,0.21,0.14,0.21,Matches
Lewis Miley,engENG,MF,17,17,14,"1,202",13.4,1,3,4,1,0,0,1,0,0.07,0.22,0.30,0.07,0.30,Matches
Jacob Murphy,engENG,"FW,MF",28,21,14,"1,189",13.2,3,7,10,3,0,0,1,0,0.23,0.53,0.76,0.23,0.76,Matches
Jamaal Lascelles,engENG,DF,29,16,13,"1,080",12.0,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Valentino Livramento,engENG,DF,20,26,12,"1,314",14.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Elliot Anderson,engENG,"MF,FW",20,21,10,"1,027",11.4,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
Callum Wilson,engENG,FW,31,20,9,991,11.0,9,1,10,7,2,2,3,0,0.82,0.09,0.91,0.64,0.73,Matches
Emil Krafth,seSWE,DF,28,17,8,913,10.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Hall,engENG,DF,18,18,8,781,8.7,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Harvey Barnes,engENG,"FW,MF",25,21,7,802,8.9,5,3,8,5,0,0,2,0,0.56,0.34,0.90,0.56,0.90,Matches
Sandro Tonali,itITA,MF,23,8,5,438,4.9,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
Joe Willock,engENG,MF,23,9,5,419,4.7,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
Loris Karius,deGER,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Targett,engENG,DF,27,3,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Ritchie,sctSCO,"DF,MF",33,13,0,128,1.4,1,0,1,1,0,0,1,0,0.70,0.00,0.70,0.70,0.70,Matches
Ben Parkinson,engENG,FW,18,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Paul Dummett,wlsWAL,DF,31,5,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Murphy,ieIRL,DF,19,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe White,engENG,MF,20,4,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Amadou Diallo,engENG,FW,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Michael Ndiweni,engENG,MF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mark Gillespie,engENG,GK,31,0,0,,,,,,,,,,,,,,,,Matches
Travis Hearnes,noNOR,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Javier Manquillo,esESP,DF,29,0,0,,,,,,,,,,,,,,,,Matches
