Season,Season_Label,Team,Total_Player_Fixture_Absences,Total_Injury_Player_Fixture_Absences,Mean_Injury_Players_Missing_Per_Match,Total_Soft_Tissue_Missing,Mean_Soft_Tissue_Missing_Per_Match,Unique_Players_Missing,Max_Injury_Players_Missing_In_Match,Total_Matches
2023-2024,2023/24,Arsenal,125,116,3.05,51,1.34,14,5,38
2023-2024,2023/24,Aston Villa,220,207,5.45,39,1.03,26,9,38
2023-2024,2023/24,Bournemouth,203,193,5.08,103,2.71,22,8,38
2023-2024,2023/24,Brentford,241,202,5.32,51,1.34,20,8,38
2023-2024,2023/24,Brighton,265,251,6.61,56,1.47,23,9,38
2023-2024,2023/24,Burnley,173,160,4.21,49,1.29,25,6,38
2023-2024,2023/24,Chelsea,267,255,6.71,78,2.05,25,12,38
2023-2024,2023/24,Crystal Palace,174,171,4.5,81,2.13,18,6,38
2023-2024,2023/24,Everton,100,95,2.5,59,1.55,16,6,38
2023-2024,2023/24,Fulham,66,51,1.34,19,0.5,15,5,38
2023-2024,2023/24,Liverpool,227,215,5.66,70,1.84,20,9,38
2023-2024,2023/24,Luton,201,197,5.18,73,1.92,17,10,38
2023-2024,2023/24,Manchester City,63,58,1.53,40,1.05,15,3,38
2023-2024,2023/24,Manchester United,290,265,6.97,95,2.5,27,9,38
2023-2024,2023/24,Newcastle,288,251,6.61,59,1.55,25,11,38
2023-2024,2023/24,Nottingham Forest,99,77,2.03,58,1.53,19,4,38
2023-2024,2023/24,Sheffield Utd,252,236,6.21,123,3.24,25,9,38
2023-2024,2023/24,Tottenham,214,195,5.13,80,2.11,22,8,38
2023-2024,2023/24,West Ham,57,46,1.21,15,0.39,16,3,38
2023-2024,2023/24,Wolves,75,59,1.55,34,0.89,18,6,38
