Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,22,David Raya
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,2,William Saliba
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,6,Gabriel Magalhães
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,7,Bukayo Saka
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,8,Martin Ødegaard
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,9,Gabriel Jesus
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,12,Jurriën Timber
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,19,Leandro Trossard
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,20,Jorginho
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,23,Mikel Merino
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,33,Riccardo Calafiori
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,32,Neto
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,5,Thomas Partey
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,11,Gabriel Martinelli
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,15,Jakub Kiwior
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,17,Oleksandr Zinchenko
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,29,Kai Havertz
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,30,Raheem Sterling
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,41,Declan Rice
0cb4129b,https://fbref.com/en/matches/0cb4129b/Arsenal-Nottingham-Forest-November-23-2024-Premier-League,2024-11-23,Premier League,Matchweek 12,Home,Nottingham Forest,W,2024-11-23_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,53,Ethan Nwaneri
