Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Leandro Trossard,19,be BEL,FW,30-090,90,1,0,0,0,2,1,0,0,0,1,2,1,1,1,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Mikel Merino,23,es ESP,FW,28-255,76,1,1,0,0,1,1,0,0,2,3,1,0,1,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Kieran Tierney,3,sct SCO,"DF,MF",27-272,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Ethan Nwaneri,53,eng ENG,FW,17-348,70,1,0,0,0,4,2,0,0,0,1,0,3,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Raheem Sterling,30,eng ENG,"FW,MF",30-086,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Declan Rice,41,eng ENG,CM,26-049,90,0,1,0,0,1,0,0,0,0,0,1,3,0,1,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Thomas Partey,5,gh GHA,CM,31-264,70,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Oleksandr Zinchenko,17,ua UKR,"DF,MF",28-079,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Martin Ødegaard,8,no NOR,CM,26-077,90,2,1,0,0,2,2,0,0,0,1,0,1,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Myles Lewis-Skelly,49,eng ENG,LB,18-159,34,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Riccardo Calafiori,33,it ITA,DF,22-289,56,1,1,0,0,1,1,0,0,1,0,0,0,1,2,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Gabriel Magalhães,6,br BRA,CB,27-075,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,William Saliba,2,fr FRA,CB,23-345,90,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Jurriën Timber,12,nl NED,RB,23-260,76,1,0,0,0,2,1,1,0,1,0,0,0,1,2,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,Ben White,4,eng ENG,DF,27-147,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
f7748494,https://fbref.com/en/matches/f7748494/PSV-Eindhoven-Arsenal-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,nlPSV,W,2025-03-04_champions_lg_nlpsv,Arsenal,David Raya,22,es ESP,GK,29-170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
