Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Gabriel Martinelli,11,br BRA,FW,23-287,90,0,1,0,0,3,0,0,0,0,0,1,9,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Mikel Merino,23,es ESP,FW,28-283,90,1,0,0,0,2,1,0,0,0,1,1,1,0,1,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Ethan Nwaneri,53,eng ENG,FW,18-011,65,0,1,0,0,2,1,0,0,0,0,2,2,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Bukayo Saka,7,eng ENG,"FW,MF",23-208,25,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Declan Rice,41,eng ENG,CM,26-077,90,0,0,0,0,3,0,1,0,1,0,0,3,1,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Thomas Partey,5,gh GHA,CM,31-292,90,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Martin Ødegaard,8,no NOR,CM,26-105,90,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Myles Lewis-Skelly,49,eng ENG,LB,18-187,90,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Gabriel Magalhães,6,br BRA,CB,27-103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Jakub Kiwior,15,pl POL,"DF,MF",25-045,75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,William Saliba,2,fr FRA,CB,24-008,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Jurriën Timber,12,nl NED,RB,23-288,76,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,Leandro Trossard,19,be BEL,"FW,MF",30-118,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
777d595c,https://fbref.com/en/matches/777d595c/Arsenal-Fulham-April-1-2025-Premier-League,2025-04-01,Premier League,Matchweek 30,Home,Fulham,W,2025-04-01_premier_league_fulham,Arsenal,David Raya,22,es ESP,GK,29-198,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
