Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,22,David Raya
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,2,William Saliba
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,5,Thomas Partey
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,7,Bukayo Saka
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,8,Martin Ødegaard
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,12,Jurriën Timber
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,15,Jakub Kiwior
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,23,Mikel Merino
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,41,Declan Rice
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Starter,49,Myles Lewis-Skelly
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,32,Neto
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,36,Tommy Setford
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,3,Kieran Tierney
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,4,Ben White
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,17,Oleksandr Zinchenko
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,19,Leandro Trossard
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,30,Raheem Sterling
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,37,Nathan Butler-Oyedeji
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,44,Jimi Gower
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,45,Jack Henry-Francis
b3039bb2,https://fbref.com/en/matches/b3039bb2/Real-Madrid-Arsenal-April-16-2025-Champions-League,2025-04-16,Champions Lg,Quarter-finals,Away,esReal Madrid,W,2025-04-16_champions_lg_esreal_madrid,Arsenal,4-3-3,Bench,53,Ethan Nwaneri
