Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,22,David Raya
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,2,William Saliba
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,5,Thomas Partey
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,7,Bukayo Saka
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,8,Martin Ødegaard
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,12,Jurriën Timber
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,15,Jakub Kiwior
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,23,Mikel Merino
a73bdd5b,https://fbref.com/en/matches/a73bdd5b/Paris-Saint-Germain-Arsenal-May-7-2025-Champions-League,2025-05-07,Champions Lg,Semi-finals,Away,frParis Saint-Germain,L,2025-05-07_champions_lg_frparis_saint_germain,Arsenal,4-3-3,Starter,41,Declan Rice
