Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Ollie Watkins,11,eng ENG,FW,28-231,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Jáder Durán,9,co COL,FW,20-248,29,1,0,0,0,2,1,0,0,0,2,0,0,1,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,John McGinn,7,sct SCO,AM,29-304,61,0,0,0,0,2,0,0,0,2,3,0,1,0,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Jacob Ramsey,41,eng ENG,MF,23-081,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Morgan Rogers,27,eng ENG,AM,22-022,90,0,0,0,0,2,1,0,0,1,1,0,1,1,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Leon Bailey,31,jm JAM,AM,27-008,73,0,0,0,0,3,0,1,0,2,2,0,4,0,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Jaden Philogene Bidace,19,eng ENG,"FW,MF",22-191,17,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Youri Tielemans,8,be BEL,DM,27-102,90,0,1,0,0,2,0,0,0,1,2,0,2,2,1,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Amadou Onana,24,be BEL,DM,23-001,90,1,0,0,0,1,1,0,0,1,3,0,0,1,2,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Lucas Digne,12,fr FRA,LB,31-028,73,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Ian Maatsen,22,nl NED,"DF,MF",22-160,17,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Pau Torres,14,es ESP,CB,27-214,90,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Ezri Konsa,4,eng ENG,CB,26-299,90,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,,
eac7c00b,https://fbref.com/en/matches/eac7c00b/West-Ham-United-Aston-Villa-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,West Ham United,W,2024-08-17_premier_league_west_ham_united,Aston Villa,Matty Cash,2,pl POL,RB,27-010,81,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,,
