Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Ollie Watkins,11,eng ENG,FW,28-238,64,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Jáder Durán,9,co COL,FW,20-255,26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Morgan Rogers,27,eng ENG,FW,22-029,90,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,John McGinn,7,sct SCO,LM,29-311,64,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Jacob Ramsey,41,eng ENG,MF,23-088,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Youri Tielemans,8,be BEL,CM,27-109,90,0,0,0,0,0,0,0,0,2,1,0,4,2,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Amadou Onana,24,be BEL,CM,23-008,75,0,0,0,0,2,0,1,0,2,2,0,0,0,1,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Ross Barkley,6,eng ENG,MF,30-263,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Leon Bailey,31,jm JAM,RM,27-015,90,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Lucas Digne,12,fr FRA,LB,31-035,75,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Ian Maatsen,22,nl NED,"DF,MF",22-167,15,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Pau Torres,14,es ESP,CB,27-221,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Ezri Konsa,4,eng ENG,CB,26-306,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Matty Cash,2,pl POL,RB,27-017,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Kosta Nedeljković,20,rs SRB,DF,18-252,75,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,
4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,Emiliano Martínez,23,ar ARG,GK,31-357,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
