Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,23,Emiliano Martínez
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,3,Diego Carlos
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,4,Ezri Konsa
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,5,Tyrone Mings
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,7,John McGinn
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,8,Youri Tielemans
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,11,Ollie Watkins
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,22,Ian Maatsen
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,27,Morgan Rogers
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,31,Leon Bailey
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Starter,44,Boubacar Kamara
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,18,Joe Gauci
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,25,Robin Olsen
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,9,Jáder Durán
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,10,Emi Buendía
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,12,Lucas Digne
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,14,Pau Torres
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,19,Jaden Philogene Bidace
b11407d0,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League,2024-11-06,Champions Lg,League phase,Away,beClub Brugge,L,2024-11-06_champions_lg_beclub_brugge,Aston Villa,4-2-3-1,Bench,20,Kosta Nedeljković
