Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Ollie Watkins,11,eng ENG,FW,28-337,83,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Emi Buendía,10,ar ARG,"FW,MF",27-342,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,John McGinn,7,sct SCO,AM,30-044,90,0,0,0,0,3,0,0,0,0,5,1,1,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Morgan Rogers,27,eng ENG,AM,22-128,65,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Jáder Durán,9,co COL,FW,20-354,25,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Jaden Philogene Bidace,19,eng ENG,AM,22-297,65,0,0,0,0,1,0,1,0,2,2,0,0,0,3,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Leon Bailey,31,jm JAM,"FW,MF",27-114,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Youri Tielemans,8,be BEL,DM,27-208,90,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Boubacar Kamara,44,fr FRA,DM,25-008,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Ross Barkley,6,eng ENG,MF,30-362,29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Lucas Digne,12,fr FRA,LB,31-134,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Pau Torres,14,es ESP,CB,27-320,90,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Ezri Konsa,4,eng ENG,CB,27-039,90,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Matty Cash,2,pl POL,RB,27-116,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Emiliano Martínez,23,ar ARG,GK,32-090,45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,
080b797b,https://fbref.com/en/matches/080b797b/Chelsea-Aston-Villa-December-1-2024-Premier-League,2024-12-01,Premier League,Matchweek 13,Away,Chelsea,L,2024-12-01_premier_league_chelsea,Aston Villa,Robin Olsen,25,se SWE,GK,34-328,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
