Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,23,Emiliano Martínez
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,2,Matty Cash
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,4,Ezri Konsa
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,7,John McGinn
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,11,Ollie Watkins
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,14,Pau Torres
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,21,Marco Asensio
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,22,Ian Maatsen
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,24,Amadou Onana
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,27,Morgan Rogers
b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,4-2-3-1,Starter,44,Boubacar Kamara
