Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Emiliano Martínez,arARG,GK,31,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Morgan Rogers,engENG,MF,22,37,37,"3,114",34.6,8,10,18,8,0,0,10,0,0.23,0.29,0.52,0.23,0.52,Matches
Youri Tielemans,beBEL,MF,27,36,35,"3,026",33.6,3,7,10,3,0,1,4,0,0.09,0.21,0.30,0.09,0.30,Matches
Ezri Konsa,engENG,DF,26,34,33,"2,936",32.6,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
Ollie Watkins,engENG,FW,28,38,31,"2,598",28.9,16,8,24,14,2,2,2,0,0.55,0.28,0.83,0.48,0.76,Matches
Lucas Digne,frFRA,DF,31,32,28,"2,351",26.1,0,4,4,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches
John McGinn,sctSCO,MF,29,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,0.04,0.16,0.20,0.04,0.20,Matches
Matty Cash,plPOL,DF,26,27,24,"2,070",23.0,1,1,2,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09,Matches
Pau Torres,esESP,DF,27,24,23,"2,020",22.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Boubacar Kamara,frFRA,"MF,DF",24,26,20,"1,726",19.2,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
Amadou Onana,beBEL,MF,22,26,20,"1,617",18.0,3,0,3,3,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches
Jacob Ramsey,engENG,MF,23,29,19,"1,623",18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,Matches
Leon Bailey,jmJAM,MF,26,24,14,"1,139",12.7,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,Matches
Tyrone Mings,engENG,DF,31,14,12,"1,120",12.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ian Maatsen,nlNED,DF,22,29,10,"1,139",12.7,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches
Marco Asensio,esESP,MF,28,13,9,743,8.3,3,1,4,3,0,2,2,0,0.36,0.12,0.48,0.36,0.48,Matches
Diego Carlos,brBRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Axel Disasi,frFRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lamare Bogarde,nlNED,"DF,MF",20,8,5,476,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrés García,esESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jáder Durán,coCOL,FW,20,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0.00,0.99,0.99,0.99,Matches
Marcus Rashford,engENG,"FW,MF",26,10,4,444,4.9,2,2,4,1,1,1,0,0,0.41,0.41,0.81,0.20,0.61,Matches
Ross Barkley,engENG,MF,30,20,3,581,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.62,0.46,0.62,Matches
Jaden Philogene Bidace,engENG,MF,22,11,2,332,3.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Donyell Malen,nlNED,MF,25,14,2,305,3.4,3,0,3,3,0,0,0,0,0.89,0.00,0.89,0.89,0.89,Matches
Robin Olsen,seSWE,GK,34,4,1,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kosta Nedeljković,rsSRB,DF,18,5,0,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emi Buendía,arARG,"FW,MF",27,12,0,98,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Benjamin Broggio,engENG,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Joe Gauci,auAUS,GK,24,0,0,,,,,,,,,,,,,,,,Matches
Jamaldeen Jimoh,engENG,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Sil Swinkels,nlNED,DF,20,0,0,,,,,,,,,,,,,,,,Matches
Kadan Young,engENG,MF,18,0,0,,,,,,,,,,,,,,,,Matches
Oliwier Zych,plPOL,GK,20,0,0,,,,,,,,,,,,,,,,Matches
