team_id,club_name,stadium,where_they_play
1,Accrington Stanley,Unknown,Unknown
2,Arsenal,Unknown,Unknown
3,Aston Villa,Unknown,Unknown
4,Bournemouth,Unknown,Unknown
5,Brentford,Unknown,Unknown
6,Brighton,Unknown,Unknown
7,Chelsea,Unknown,Unknown
8,Crystal Palace,Unknown,Unknown
9,Everton,Unknown,Unknown
10,Fulham,Unknown,Unknown
11,Ipswich Town,Unknown,Unknown
12,Leicester City,Unknown,Unknown
13,Manchester City,Unknown,Unknown
14,Manchester Utd,Unknown,Unknown
15,Newcastle United,Unknown,Unknown
16,Nottingham Forest,Unknown,Unknown
17,Plymouth Argyle,Unknown,Unknown
18,Southampton,Unknown,Unknown
19,Tottenham Hotspur,Unknown,Unknown
20,West Ham United,Unknown,Unknown
21,Wolves,Unknown,Unknown
22,deLeverkusen,Unknown,Unknown
23,deRB Leipzig,Unknown,Unknown
24,esGirona,Unknown,Unknown
25,esReal Madrid,Unknown,Unknown
26,frLille,Unknown,Unknown
27,frParis Saint-Germain,Unknown,Unknown
28,itBologna,Unknown,Unknown
29,itMilan,Unknown,Unknown
30,nlPSV,Unknown,Unknown
