Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Curtis Jones,17,eng ENG,FW,23-274,90,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Dominik Szoboszlai,8,hu HUN,FW,24-005,70,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Darwin Núñez,9,uy URU,FW,25-128,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Cody Gakpo,18,nl NED,LM,25-176,70,2,0,0,0,3,2,0,0,0,1,2,0,0,1,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Mohamed Salah,11,eg EGY,"FW,MF",32-137,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Wataru Endo,3,jp JPN,CM,31-264,63,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Trey Nyoni,98,eng ENG,MF,17-122,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Tyler Morton,80,eng ENG,CM,21-365,63,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Alexis Mac Allister,10,ar ARG,MF,25-311,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
70ffe3fc,https://fbref.com/en/matches/70ffe3fc/Brighton-and-Hove-Albion-Liverpool-October-30-2024-EFL-Cup,2024-10-30,EFL Cup,Fourth round,Away,Brighton,W,2024-10-30_efl_cup_brighton,Liverpool,Luis Díaz,7,co COL,RM,27-291,90,1,0,0,0,3,1,0,0,2,1,1,1,1,0,0,,
