Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Harvey Elliott,engENG,"MF,FW",21,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Diogo Jota,ptPOR,"MF,FW",27,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Caoimhín Kelleher,ieIRL,GK,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jarell Quansah,engENG,DF,21,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Tsimikas,grGRE,DF,28,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wataru Endo,jpJPN,"MF,DF",31,2,2,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Federico Chiesa,itITA,FW,26,2,1,135,1.5,1,0,1,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
Darwin Núñez,uyURU,FW,25,2,1,123,1.4,0,1,1,0,0,0,0,0,0.00,0.73,0.73,0.00,0.73,Matches
James McConnell,engENG,DF,19,2,1,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Díaz,coCOL,FW,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Trey Nyoni,engENG,MF,17,2,1,87,1.0,0,1,1,0,0,0,1,0,0.00,1.03,1.03,0.00,1.03,Matches
Rio Ngumoha,engENG,FW,15,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Trent Alexander-Arnold,engENG,DF,25,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,Matches
Tyler Morton,engENG,MF,21,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dominik Szoboszlai,huHUN,MF,23,1,1,45,0.5,0,1,1,0,0,0,0,0,0.00,2.00,2.00,0.00,2.00,Matches
Joe Gomez,engENG,DF,27,1,1,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Isaac Mabaya,engENG,MF,19,1,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Conor Bradley,nirNIR,"DF,MF",21,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Danns,engENG,FW,18,1,0,19,0.2,1,0,1,1,0,0,0,0,4.74,0.00,4.74,4.74,4.74,Matches
Trent Doherty,ieIRL,MF,18,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vitezslav Jaros,czCZE,GK,23,0,0,,,,,,,,,,,,,,,,Matches
Curtis Jones,engENG,"FW,MF",23,0,0,,,,,,,,,,,,,,,,Matches
Alexis Mac Allister,arARG,MF,25,0,0,,,,,,,,,,,,,,,,Matches
Amara Nallo,engENG,DF,17,0,0,,,,,,,,,,,,,,,,Matches
James Norris,engENG,"DF,MF",21,0,0,,,,,,,,,,,,,,,,Matches
Andrew Robertson,sctSCO,"DF,MF",30,0,0,,,,,,,,,,,,,,,,Matches
Ranel Young,engENG,MF,18,0,0,,,,,,,,,,,,,,,,Matches
