Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Erling Haaland,9,no NOR,FW,24-136,90,0,1,0,0,2,1,0,0,0,4,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Jeremy Doku,11,be BEL,AM,22-191,89,1,1,0,0,3,1,0,0,0,2,1,2,2,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Sávio,26,br BRA,"FW,MF",20-238,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Kevin De Bruyne,17,be BEL,AM,33-159,73,1,1,0,0,5,3,0,0,1,1,0,8,0,1,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Rico Lewis,82,eng ENG,DF,20-013,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Bernardo Silva,20,pt POR,AM,30-116,90,1,0,0,0,1,1,1,0,1,1,0,3,1,1,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Jack Grealish,10,eng ENG,DM,29-085,89,0,0,0,0,2,1,0,0,0,4,0,0,1,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Matheus Nunes,27,pt POR,"DF,MF",26-099,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,İlkay Gündoğan,19,de GER,DM,34-041,90,0,0,0,0,1,0,1,0,1,2,0,1,2,2,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Joško Gvardiol,24,hr CRO,LB,22-316,90,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Nathan Aké,6,nl NED,CB,29-290,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,James Mcatee,87,eng ENG,MF,22-047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Rúben Dias,3,pt POR,CB,27-204,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Manuel Akanji,25,ch SUI,RB,29-138,45,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Kyle Walker,2,eng ENG,"DF,MF",34-190,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dedb0eee,https://fbref.com/en/matches/dedb0eee/Manchester-City-Nottingham-Forest-December-4-2024-Premier-League,2024-12-04,Premier League,Matchweek 14,Home,Nottingham Forest,W,2024-12-04_premier_league_nottingham_forest,Manchester City,Stefan Ortega,18,de GER,GK,32-028,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
