name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Jean-Ricner Bellegarde,Jean-Ricner,Bellegarde,jean-ricner-bellegarde,J. Bellegarde,M,27,35297,M,845273,"{'nameTranslation': {'ar': 'جان-ريكنا بللجارد', 'bn': 'জিন-রিকনার বেলেগার্ড', 'hi': 'जीन-रिकनर बेलेगार्डे'}, 'shortNameTranslation': {'ar': 'ج. بللجارد', 'bn': 'জে.-আর. বেলগার্ড', 'hi': 'जे.आर. बेलेगार्डे'}}",,51.704761904762,64.319047619048,21,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Gonçalo Guedes,,,goncalo-guedes,G. Guedes,M,11,4187,M,280979,"{'nameTranslation': {'ar': 'غونسالو غيديس', 'bn': 'গনসালো গুয়েদেস', 'hi': 'गोन्सालो गुएडेस'}, 'shortNameTranslation': {'ar': 'غ. غيديس', 'bn': 'জি. গুয়েদেস', 'hi': 'जी. गुएडेस'}}",,73.072,55.116,25,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Rodrigo Gomes,,,gomes-rodrigo,R. Gomes,M,21,1415,M,1006073,"{'nameTranslation': {'ar': 'غوميز، رودريغو', 'bn': 'গোমেস, রদ্রিগো', 'hi': 'गोम्स, रोड्रिगो'}, 'shortNameTranslation': {'ar': 'ر. غوميز', 'bn': 'আর. গোমেস', 'hi': 'आर. गोम्स'}}",,65.241176470588,12.394117647059,17,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Marshall Munetsi,Marshall,Munetsi,marshall-munetsi,M. Munetsi,M,18,2139,M,894733,"{'nameTranslation': {'ar': 'مارشال مونيتسي', 'bn': 'মার্শাল মুনেতসি', 'hi': 'मार्शल मुनेत्सी'}, 'shortNameTranslation': {'ar': 'م. مونيتسي', 'bn': 'এম. মুনেতসি', 'hi': 'एम. मुनेत्सी'}}",,60.51,47.283333333333,30,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Jørgen Strand Larsen,Jorgen Strand,Larsen,jorgen-strand-larsen,J. Larsen,F,22,7690,M,876599,"{'nameTranslation': {'ar': 'يورغن ستراند لارسون', 'bn': 'জার্গেন স্ট্র্যান্ড লারসেন', 'hi': 'जोर्गेन स्ट्रैण्ड लार्सन'}, 'shortNameTranslation': {'ar': 'ي. لارسون', 'bn': 'জে. এস. লারসেন', 'hi': 'जे.एस. लार्सन'}}",,58.2,56.7875,8,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
João Gomes,,,joao-gomes,J. Gomes,M,8,15677,M,1015267,"{'nameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}}",joaogomes.01,50.658139534884,46.16511627907,43,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Mateus Mané,Mateus Mané,,mateus-mane,M. Mané,F,36,5067,M,1899647,"{'nameTranslation': {'ar': 'ماتيوس مانيه'}, 'shortNameTranslation': {'ar': 'م. مانيه'}}",,57.028571428571,73.042857142857,7,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Emmanuel Agbadou,,,emmanuel-agbadou,E. Agbadou,D,12,4391,M,1013842,"{'nameTranslation': {'ar': 'إيمانويل أغبادو', 'bn': 'ইমানুয়েল আগবাদৌ', 'hi': 'इमैनुएल अग्बाडौ'}, 'shortNameTranslation': {'ar': 'إ. أغبادو', 'bn': 'ই. আগবাদৌ', 'hi': 'ई. अग्बाडौ'}}",,32.93,51.813636363636,110,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Pablo Sarabia,,,pablo-sarabia,P. Sarabia,M,7,2484,M,138573,"{'nameTranslation': {'ar': 'بابلو سارابيا', 'bn': 'পাবলো সারাবিয়া', 'hi': 'पाब्लो साराबिया'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'bn': 'পি. সারাবিয়া', 'hi': 'पी. साराबिया'}}",,56.345945945946,23.097297297297,37,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Matt Doherty,Matt,Doherty,matt-doherty,M. Doherty,D,2,1442,M,143047,"{'nameTranslation': {'ar': 'مات دوهيرتي', 'bn': 'ম্যাট ডোহার্টি', 'hi': 'मैट डोहर्टी'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'bn': 'এম. ডোহার্টি', 'hi': 'एम. डोहर्टी'}}",,39.775862068966,29.574137931034,58,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
