name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Lewis Miley,Lewis Miley,lewis-miley,L. Miley,M,67,3488,M,1400650,"{'nameTranslation': {'ar': 'لويس مايلي', 'bn': 'লুইস মাইলি', 'hi': 'लुईस माइली'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'bn': 'এল. মাইলি', 'hi': 'एल. माइली'}}",,,48.672222222222,72.016666666667,18,Newcastle United,1746961200_newcastle_united_vs_chelsea
Callum Wilson,Callum,callum-wilson,C. Wilson,F,9,3269,M,113956,"{'nameTranslation': {'ar': 'كالوم ويلسون', 'bn': 'ক্যালাম উইলসন', 'hi': 'कैलम विल्सन'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'bn': 'সি. উইলসন', 'hi': 'सी. विल्सन'}}",Wilson,,46.0,57.5,1,Newcastle United,1746961200_newcastle_united_vs_chelsea
Sean Longstaff,Sean,sean-longstaff,S. Longstaff,M,8,1699,M,866191,"{'nameTranslation': {'ar': 'شون لونغستاف', 'bn': 'শন লংস্টাফ', 'hi': 'सीन लॉन्गस्टाफ़'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'bn': 'এস. লংস্টাফ', 'hi': 'एस. लॉन्गस्टाफ़'}}",Longstaff,,14.0,46.3,1,Newcastle United,1746961200_newcastle_united_vs_chelsea
Emil Krafth,Emil,emil-krafth,E. Krafth,D,17,1050,M,150396,"{'nameTranslation': {'ar': 'إميل كرافث', 'bn': 'এমিল ক্রাফট', 'hi': 'एमिल क्राफ्ट'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'bn': 'ই. ক্রাফট', 'hi': 'ई. क्राफ्ट'}}",Krafth,,41.95652173913,14.795652173913,23,Newcastle United,1746961200_newcastle_united_vs_chelsea
Anthony Gordon,Anthony,anthony-gordon,A. Gordon,F,10,25866,M,914902,"{'nameTranslation': {'ar': 'غوردون، أنتوني', 'bn': 'গর্ডন, অ্যান্টনি', 'hi': 'गॉर्डन, एंथनी'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'bn': 'এ. গর্ডন', 'hi': 'ए. गॉर्डन'}}",Gordon,AGordon,58.054285714286,79.125714285714,35,Newcastle United,1746961200_newcastle_united_vs_chelsea
Alexander Isak,Alexander,alexander-isak,A. Isak,F,9,106438,M,823941,"{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'bn': 'আলেকজান্ডার ইসাক', 'hi': 'अलेक्जेंडर इसाक'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'bn': 'এ. ইসাক', 'hi': 'ए. इसाक'}}",Isak,AlexIsak,68.061111111111,39.041666666667,36,Newcastle United,1746961200_newcastle_united_vs_chelsea
Nick Pope,Nick,nick-pope,N. Pope,G,1,4881,M,162653,"{'nameTranslation': {'ar': 'نيك بوب', 'bn': 'নিক পোপ', 'hi': 'निक पोप'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'bn': 'এন. পোপ', 'hi': 'एन. पोप'}}",Pope,npope29,10.437209302326,42.446511627907,43,Newcastle United,1746961200_newcastle_united_vs_chelsea
Harvey Barnes,Harvey,harvey-barnes,H. Barnes,F,11,6360,M,855647,"{'nameTranslation': {'ar': 'هارفي بارنز', 'bn': 'হার্ভে বার্নস', 'hi': 'हार्वे बार्न्स'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'bn': 'এইচ. বার্নস', 'hi': 'एच. बार्न्स'}}",Barnes,,68.916949152542,39.779661016949,59,Newcastle United,1746961200_newcastle_united_vs_chelsea
Sandro Tonali,,sandro-tonali,S. Tonali,M,8,16086,M,892673,"{'nameTranslation': {'ar': 'ساندرو تونالي', 'bn': 'সান্দ্রো টোনালি', 'hi': 'सैंड्रो टोनाली'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'bn': 'এস. টোনালি', 'hi': 'एस. टोनाली'}}",,sandrotonali,50.45652173913,46.585507246377,69,Newcastle United,1746961200_newcastle_united_vs_chelsea
Tino Livramento,Tino,tino-livramento,T. Livramento,D,21,5193,M,980634,"{'nameTranslation': {'ar': 'تينو ليفرامينتو', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো', 'hi': 'वैलेंटिनो लिवरामेंटो'}, 'shortNameTranslation': {'ar': 'ت. ليفرامينتو', 'bn': 'ভি. লিভরামেন্টো', 'hi': 'वी. लिवरामेंटो'}}",Livramento,,44.419047619048,85.233333333333,63,Newcastle United,1746961200_newcastle_united_vs_chelsea
Sven Botman,Sven,sven-botman,S. Botman,D,4,3553,M,910046,"{'nameTranslation': {'ar': 'سفين بوتمان', 'bn': 'সোভেন বটম্যান', 'hi': 'स्वेन बोटमैन'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'bn': 'এস. বটম্যান', 'hi': 'एस. बोटमैन'}}",Botman,,37.9,56.864285714286,56,Newcastle United,1746961200_newcastle_united_vs_chelsea
Dan Burn,,dan-burn,D. Burn,D,33,4768,M,99090,"{'nameTranslation': {'ar': 'دان بيرن', 'bn': 'ড্যান বার্ন', 'hi': 'डैन बर्न'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'bn': 'ডি বার্ন', 'hi': 'डी. बर्न'}}",,,40.182666666667,76.224,75,Newcastle United,1746961200_newcastle_united_vs_chelsea
Jacob Murphy,Jacob,jacob-murphy,J. Murphy,F,23,3692,M,372336,"{'nameTranslation': {'ar': 'جاكوب مورفي', 'bn': 'জ্যাকব মারফি', 'hi': 'जैकब मर्फी'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'bn': 'জে. মারফি', 'hi': 'जे. मर्फी'}}",Murphy,,52.368656716418,16.334328358209,67,Newcastle United,1746961200_newcastle_united_vs_chelsea
Bruno Guimarães,,bruno-guimaraes,B. Guimarães,M,39,35511,M,866469,"{'nameTranslation': {'ar': 'برونو غيماريش', 'bn': 'ব্রুনো গুইমারেস', 'hi': 'ब्रूनो गीमरेस'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'bn': 'বি. গুইমারেস', 'hi': 'बी. गीमरेस'}}",,BrunoGuimarães,53.572307692308,42.352307692308,65,Newcastle United,1746961200_newcastle_united_vs_chelsea
Fabian Schär,,fabian-schar,F. Schär,D,5,3122,M,101882,"{'nameTranslation': {'ar': 'فابيان شير', 'bn': 'ফ্যাবিয়ান শার', 'hi': 'फेबियन शार'}, 'shortNameTranslation': {'ar': 'ف. شير', 'bn': 'এফ. শার', 'hi': 'एफ. शार'}}",,,36.315492957746,29.218309859155,71,Newcastle United,1746961200_newcastle_united_vs_chelsea
Nicolas Jackson,Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,97857,M,1085381,"{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'bn': 'নিকোলাস জ্যাকসন', 'hi': 'निकोलस जैक्सन'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'bn': 'এন. জ্যাকসন', 'hi': 'एन. जैक्सन'}}",,NJackson11,66.264285714286,60.378571428571,14,Chelsea,1746961200_newcastle_united_vs_chelsea
