name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Jefferson Lerma,Jefferson,Lerma,jefferson-lerma,J. Lerma,M,8,5679,M,jeffersonlerma,355796,"{'nameTranslation': {'ar': 'جيفرسون ليرما', 'bn': 'জেফারসন লারমা', 'hi': 'जेफरसन लेर्मा'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'bn': 'জে. লারমা', 'hi': 'जे. लेर्मा'}}",34.141818181818,60.345454545455,55,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Matheus França,Matheus França,,matheus-franca,Matheus França,F,9,3907,M,,1116593,"{'nameTranslation': {'ar': 'ماتيوس فرانكا', 'bn': 'ম্যাথিউস ফ্রাঙ্কা', 'hi': 'मैथियस फ्रांस'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'bn': 'ম্যাথিউস ফ্রাঙ্কা', 'hi': 'मैथियस फ्रांस'}}",45.0,47.869565217391,23,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Daichi Kamada,Daichi,Kamada,daichi-kamada,D. Kamada,M,18,7402,M,kamadadaichi,794338,"{'nameTranslation': {'ar': 'دايتشي كامادا', 'bn': 'দাইচি কামদা', 'hi': 'दाइची कामदा'}, 'shortNameTranslation': {'ar': 'د. كامادا', 'bn': 'ডি. কামদা', 'hi': 'डी. कामदा'}}",34.0,67.492857142857,14,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Will Hughes,Will,Hughes,will-hughes,W. Hughes,M,19,1063,M,,193554,"{'nameTranslation': {'ar': 'ويل هيوز', 'bn': 'উইল হিউজেস', 'hi': 'विल ह्यूजेस'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'bn': 'ডব্লিউ. হিউজেস', 'hi': 'डब्ल्यू. ह्यूजेस'}}",43.724,45.344,25,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Eberechi Eze,Eberechi,Eze,eberechi-eze,E. Eze,M,10,63158,M,eze,864921,"{'nameTranslation': {'ar': 'إيبيريشي إيزي', 'bn': 'ইবেরেচি এজ', 'hi': 'एबेरची ईज़े'}, 'shortNameTranslation': {'ar': 'إ. إيزي', 'bn': 'ই. এজ', 'hi': 'ई. ईज़े'}}",63.5625,56.825,8,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Jean Philippe Mateta,Jean Philippe,Mateta,jean-philippe-mateta,J. Mateta,F,14,9999,M,Matetajphilippe,848276,"{'nameTranslation': {'ar': 'جان فيليب ماتيتا', 'bn': 'জিন-ফিলিপ মাটেটা', 'hi': 'जीन-फिलिप माटेटा'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'bn': 'জে. মাটেটা', 'hi': 'जे. माटेटा'}}",58.988888888889,66.488888888889,9,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Justin Devenny,,,devenny-justin,J. Devenny,M,55,792,M,,1084311,"{'nameTranslation': {'ar': 'جاستن ديفيني'}, 'shortNameTranslation': {'ar': 'ج. ديفيني'}}",45.837142857143,36.368571428571,35,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Dean Henderson,Dean,Henderson,dean-henderson,D. Henderson,G,1,5347,M,deanhenderson,788134,"{'nameTranslation': {'ar': 'دين هندرسون', 'bn': 'ডিন হেন্ডারসন', 'hi': 'डीन हेंडरसन'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'bn': 'ডি. হেন্ডারসন', 'hi': 'डी. हेंडरसन'}}",11.302857142857,51.58,35,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Eddie Nketiah,Eddie,Nketiah,eddie-nketiah,E. Nketiah,F,9,6513,M,EN9,858194,"{'nameTranslation': {'ar': 'إيدي نكيتيا', 'bn': 'এডওয়ার্ড এনকেটিয়া', 'hi': 'एडवर्ड नेकेटिया'}, 'shortNameTranslation': {'ar': 'إ. نكيتيا', 'bn': 'ই. এনকেটিয়া', 'hi': 'ई. नेकेटिया'}}",55.011111111111,54.715555555556,45,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
Maxence Lacroix,Maxence,Lacroix,maxence-lacroix,M. Lacroix,D,5,9292,M,,879674,"{'nameTranslation': {'ar': 'ماكسنس لاكروآ', 'bn': 'ম্যাক্সেন্স ল্যাক্রোইক্স', 'hi': 'मैक्सेंस लैक्रोइक्स'}, 'shortNameTranslation': {'ar': 'م. لاكروآ', 'bn': 'এম. ল্যাক্রোইক্স', 'hi': 'एम. लैक्रोइक्स'}}",26.86,46.062222222222,45,Crystal Palace,1747767600_crystal_palace_vs_wolverhampton
