name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Ryan Sessegnon,Ryan,Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,1921,M,836698,"{'nameTranslation': {'ar': 'ريان سيسينيون', 'bn': 'রায়ান সেসেগনন', 'hi': 'रयान सेसेग्नन'}, 'shortNameTranslation': {'ar': 'ر. سيسينيون', 'bn': 'আর. সেসেগনন', 'hi': 'आर. सेसेग्नन'}}",,77.4375,41.26875,16,Fulham,1748185200_fulham_vs_manchester_city
Antonee Robinson,Antonee,Robinson,antonee-robinson,A. Robinson,D,33,2979,M,803174,"{'nameTranslation': {'ar': 'أنتوني روبنسون', 'bn': 'অ্যান্টনি রবিনসন', 'hi': 'एंटोनी रॉबिन्सन'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'bn': 'এ. রবিনসন', 'hi': 'ए. रॉबिन्सन'}}",,39.757317073171,84.693902439024,82,Fulham,1748185200_fulham_vs_manchester_city
Joshua King,Joshua King,,joshua-king,J. King,M,24,1959,M,1546231,"{'nameTranslation': {'ar': 'جوشوا كينغ'}, 'shortNameTranslation': {'ar': 'ج. كينغ'}}",,63.930769230769,53.830769230769,13,Fulham,1748185200_fulham_vs_manchester_city
Sander Berge,Sander,Berge,sander-berge,S. Berge,M,16,2195,M,793167,"{'nameTranslation': {'ar': 'ساندر بيرج', 'bn': 'স্যান্ডার বার্জে', 'hi': 'सैंडर बर्ज'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'bn': 'এস. বার্জে', 'hi': 'एस. बर्ज'}}",,52.236363636364,59.427272727273,11,Fulham,1748185200_fulham_vs_manchester_city
Emile Smith Rowe,Emile,Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,7369,M,867445,"{'nameTranslation': {'ar': 'إيميل سميث رو', 'bn': 'এমিল স্মিথ রো', 'hi': 'एमिल स्मिथ रोवे'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'bn': 'ই. স্মিথ রো', 'hi': 'ई. स्मिथ'}}",esr,57.181481481482,69.244444444444,27,Fulham,1748185200_fulham_vs_manchester_city
Raúl Jiménez,,,raul-jimenez,R. Jiménez,F,7,19495,M,192442,"{'nameTranslation': {'ar': 'راؤول خيمينيز', 'bn': 'রাউল জিমেনেজ', 'hi': 'राउल जिमेनेज़'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'bn': 'আর. জিমেনেজ', 'hi': 'आर. जिमेनेज़'}}",RJimenez9,46.555882352941,53.135294117647,34,Fulham,1748185200_fulham_vs_manchester_city
Andreas Pereira,Andreas,Pereira,andreas-pereira,A. Pereira,M,8,15400,M,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}}",andreaspereira,50.925,44.225,24,Fulham,1748185200_fulham_vs_manchester_city
Adama Traoré,,,adama-traore,A. Traoré,F,17,13109,M,286165,"{'nameTranslation': {'ar': 'أداما تراوري', 'bn': 'আদামা ট্রাওরে', 'hi': 'एडाम ट्राओरे'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'bn': 'এ. ট্রাওরে', 'hi': 'ए. ट्राओरे'}}",adamatrd,49.843243243243,52.554054054054,37,Fulham,1748185200_fulham_vs_manchester_city
Alex Iwobi,Alex,Iwobi,alex-iwobi,A. Iwobi,M,17,8555,M,352770,"{'nameTranslation': {'ar': 'أليكس إيووبي', 'bn': 'অ্যালেক্স ইওবি', 'hi': 'एलेक्स इवोबी'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'bn': 'এ. ইওবি', 'hi': 'ए. इवोबी'}}",alexanderiwobi,64.468421052632,86.984210526316,38,Fulham,1748185200_fulham_vs_manchester_city
Harry Wilson,Harry,Wilson,harry-wilson,H. Wilson,M,8,5583,M,355528,"{'nameTranslation': {'ar': 'هاري ويلسون', 'bn': 'হ্যারি উইলসন', 'hi': 'हैरी विल्सन'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'bn': 'এইচ. উইলসন', 'hi': 'एच. विल्सन'}}",,58.837142857143,30.811428571429,35,Fulham,1748185200_fulham_vs_manchester_city
