Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,31,Ederson
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,2,Kyle Walker
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,3,Rúben Dias
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,6,Nathan Aké
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,8,Mateo Kovačić
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,9,Erling Haaland
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,11,Jeremy Doku
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,16,Rodri
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,19,Julián Álvarez
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,25,Manuel Akanji
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Starter,47,Phil Foden
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,18,Stefan Ortega
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,33,Scott Carson
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,4,Kalvin Phillips
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,20,Bernardo Silva
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,21,Sergio Gómez
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,24,Joško Gvardiol
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,27,Matheus Nunes
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,52,Oscar Bobb
88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,4-2-3-1,Bench,82,Rico Lewis
