Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
André Onana,cmCMR,GK,27,51,51,"4,650",51.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Diogo Dalot,ptPOR,DF,24,50,48,"4,364",48.5,3,5,8,3,0,0,7,1,0.06,0.10,0.16,0.06,0.16,Matches
Bruno Fernandes,ptPOR,"MF,FW",28,48,47,"4,284",47.6,15,13,28,9,6,7,12,0,0.32,0.27,0.59,0.19,0.46,Matches
Alejandro Garnacho,arARG,MF,19,50,41,"3,560",39.6,10,5,15,10,0,0,4,0,0.25,0.13,0.38,0.25,0.38,Matches
Rasmus Højlund,dkDEN,FW,20,43,35,"3,072",34.1,16,2,18,16,0,0,2,0,0.47,0.06,0.53,0.47,0.53,Matches
Marcus Rashford,engENG,"MF,FW",25,43,35,"3,046",33.8,8,5,13,6,2,2,2,1,0.24,0.15,0.38,0.18,0.33,Matches
Scott McTominay,sctSCO,MF,26,43,27,"2,783",30.9,10,3,13,10,0,0,4,0,0.32,0.10,0.42,0.32,0.42,Matches
Casemiro,brBRA,MF,31,32,31,"2,573",28.6,5,3,8,5,0,0,11,1,0.17,0.10,0.28,0.17,0.28,Matches
Aaron Wan-Bissaka,cdCOD,DF,25,30,26,"2,407",26.7,0,3,3,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
Kobbie Mainoo,engENG,MF,18,32,29,"2,389",26.5,5,1,6,5,0,0,4,0,0.19,0.04,0.23,0.19,0.23,Matches
Harry Maguire,engENG,DF,30,31,25,"2,314",25.7,4,2,6,4,0,0,5,0,0.16,0.08,0.23,0.16,0.23,Matches
Raphaël Varane,frFRA,DF,30,32,25,"2,212",24.6,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
Victor Lindelöf,seSWE,DF,29,28,20,"1,956",21.7,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches
Antony,brBRA,MF,23,38,21,"1,910",21.2,3,2,5,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches
Jonny Evans,nirNIR,DF,35,30,17,"1,598",17.8,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Sofyan Amrabat,maMAR,"MF,DF",26,30,17,"1,547",17.2,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Eriksen,dkDEN,MF,31,28,14,"1,434",15.9,1,3,4,1,0,0,1,0,0.06,0.19,0.25,0.06,0.25,Matches
Luke Shaw,engENG,DF,28,15,15,"1,175",13.1,0,1,1,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08,Matches
Lisandro Martínez,arARG,DF,25,14,11,896,10.0,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
Mason Mount,engENG,MF,24,20,8,759,8.4,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches
Sergio Reguilón,esESP,DF,26,12,7,654,7.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Martial,frFRA,"FW,MF",27,19,7,635,7.1,2,1,3,2,0,0,0,0,0.28,0.14,0.43,0.28,0.43,Matches
Amad Diallo,ciCIV,MF,21,12,3,474,5.3,2,1,3,2,0,0,3,1,0.38,0.19,0.57,0.38,0.57,Matches
Facundo Pellistri,uyURU,MF,21,14,3,375,4.2,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
Willy Kambwala,frFRA,DF,18,10,3,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Hannibal Mejbri,tnTUN,MF,20,10,4,330,3.7,1,0,1,1,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Matches
Omari Forson,engENG,MF,19,7,1,92,1.0,0,1,1,0,0,0,0,0,0.00,0.98,0.98,0.00,0.98,Matches
Altay Bayındır,trTUR,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jadon Sancho,engENG,"FW,MF",23,3,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Gore,engENG,MF,18,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
