Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Rasmus Højlund,11,dk DEN,FW,20-273,78,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Anthony Martial,9,fr FRA,"FW,MF",27-334,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Alejandro Garnacho,17,ar ARG,AM,19-126,89,0,0,0,0,1,1,1,0,2,3,1,1,0,2,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Raphaël Varane,19,fr FRA,"DF,MF",30-193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Bruno Fernandes,8,pt POR,AM,29-057,90,1,0,0,0,3,3,0,0,1,2,0,6,1,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Antony,21,br BRA,AM,23-253,62,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Facundo Pellistri,28,uy URU,"FW,MF",21-319,28,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Christian Eriksen,14,dk DEN,DM,31-263,78,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Mason Mount,7,eng ENG,MF,24-298,12,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Scott McTominay,39,sct SCO,DM,26-331,90,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Diogo Dalot,20,pt POR,LB,24-231,90,0,0,0,0,3,0,1,0,2,0,0,3,2,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Jonny Evans,35,nir NIR,CB,35-305,90,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Harry Maguire,5,eng ENG,CB,30-244,90,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,Aaron Wan-Bissaka,29,cd COD,RB,25-343,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,
31273be0,https://fbref.com/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Fulham,W,2023-11-04_premier_league_fulham,Manchester Utd,André Onana,24,cm CMR,GK,27-216,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
