Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-302,90,0,0,0,0,2,0,0,0,0,1,0,5,1,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Callum Wilson,9,eng ENG,FW,31-299,90,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Miguel Almirón,24,py PAR,FW,29-316,80,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Valentino Livramento,21,eng ENG,"DF,MF",21-041,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Sean Longstaff,36,eng ENG,CM,26-054,90,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Bruno Guimarães,39,br BRA,CM,26-037,90,0,0,0,0,4,1,1,0,1,6,0,2,2,2,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Lewis Miley,67,eng ENG,CM,17-236,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Alexander Isak,14,se SWE,FW,24-093,53,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Dan Burn,33,eng ENG,LB,31-228,84,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Lewis Hall,20,eng ENG,"DF,MF",19-106,6,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Fabian Schär,5,ch SUI,CB,32-003,90,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Jamaal Lascelles,6,eng ENG,CB,30-042,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Sven Botman,4,nl NED,DF,23-345,54,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Kieran Trippier,2,eng ENG,RB,33-095,90,0,0,0,0,0,0,0,0,0,1,0,11,3,1,0,,
46bfb645,https://fbref.com/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Luton Town,L,2023-12-23_premier_league_luton_town,Newcastle United,Martin Dúbravka,1,sk SVK,GK,34-342,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
