Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
David Raya,esESP,GK,28,55,55,"4,980",55.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
William Saliba,frFRA,DF,23,51,50,"4,464",49.6,2,0,2,2,0,0,3,1,0.04,0.00,0.04,0.04,0.04,Matches
Declan Rice,engENG,MF,25,52,48,"4,116",45.7,9,10,19,9,0,0,10,1,0.20,0.22,0.42,0.20,0.42,Matches
Thomas Partey,ghGHA,"MF,DF",31,52,45,"3,940",43.8,4,2,6,4,0,0,7,0,0.09,0.05,0.14,0.09,0.14,Matches
Jurriën Timber,nlNED,DF,23,48,42,"3,666",40.7,2,4,6,2,0,0,9,0,0.05,0.10,0.15,0.05,0.15,Matches
Gabriel Martinelli,brBRA,"FW,MF",23,51,40,"3,551",39.5,10,5,15,10,0,0,3,0,0.25,0.13,0.38,0.25,0.38,Matches
Gabriel Magalhães,brBRA,DF,26,42,40,"3,499",38.9,5,1,6,5,0,0,6,0,0.13,0.03,0.15,0.13,0.15,Matches
Leandro Trossard,beBEL,FW,29,56,37,"3,452",38.4,10,9,19,10,0,1,5,1,0.26,0.23,0.50,0.26,0.50,Matches
Martin Ødegaard,noNOR,MF,25,45,38,"3,437",38.2,6,11,17,5,1,2,4,0,0.16,0.29,0.45,0.13,0.42,Matches
Kai Havertz,deGER,"FW,MF",25,36,30,"2,810",31.2,15,4,19,15,0,0,7,0,0.48,0.13,0.61,0.48,0.61,Matches
Mikel Merino,esESP,"FW,MF",28,44,29,"2,640",29.3,9,5,14,9,0,0,5,1,0.31,0.17,0.48,0.31,0.48,Matches
Bukayo Saka,engENG,"FW,MF",22,37,30,"2,609",29.0,12,13,25,10,2,3,5,0,0.41,0.45,0.86,0.34,0.79,Matches
Myles Lewis-Skelly,engENG,DF,17,39,26,"2,303",25.6,1,1,2,1,0,0,6,2,0.04,0.04,0.08,0.04,0.08,Matches
Jakub Kiwior,plPOL,DF,24,30,21,"2,160",24.0,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches
Ben White,engENG,DF,26,26,17,"1,533",17.0,0,2,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
Riccardo Calafiori,itITA,DF,22,29,16,"1,496",16.6,3,2,5,3,0,0,7,0,0.18,0.12,0.30,0.18,0.30,Matches
Jorginho,itITA,MF,32,27,16,"1,455",16.2,1,0,1,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,Matches
Ethan Nwaneri,engENG,FW,17,37,16,"1,387",15.4,9,2,11,9,0,0,1,0,0.58,0.13,0.71,0.58,0.71,Matches
Gabriel Jesus,brBRA,"FW,MF",27,27,13,"1,207",13.4,7,2,9,7,0,0,5,0,0.52,0.15,0.67,0.52,0.67,Matches
Raheem Sterling,engENG,FW,29,28,13,"1,147",12.7,1,5,6,1,0,1,5,0,0.08,0.39,0.47,0.08,0.47,Matches
Oleksandr Zinchenko,uaUKR,"MF,DF",27,23,8,795,8.8,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
Kieran Tierney,sctSCO,FW,27,20,4,456,5.1,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
Jack Porter,engENG,GK,16,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tommy Setford,engENG,GK,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Josh Nichols,engENG,DF,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Neto,brBRA,GK,35,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maldini Kacurri,alALB,DF,18,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ayden Heaven,engENG,DF,17,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ismeal Kabia,engENG,MF,18,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Butler-Oyedeji,engENG,FW,21,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Takehiro Tomiyasu,jpJPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Reiss Nelson,engENG,"FW,MF",24,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexei Rojas,coCOL,GK,18,0,0,,,,,,,,,,,,,,,,Matches
Brayden Clarke,wlsWAL,DF,17,0,0,,,,,,,,,,,,,,,,Matches
Aaron Ramsdale,engENG,GK,26,0,0,,,,,,,,,,,,,,,,Matches
Eddie Nketiah,engENG,FW,25,0,0,,,,,,,,,,,,,,,,Matches
Salah Oulad M'Hand,nlNED,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Zane Monlouis,engENG,DF,20,0,0,,,,,,,,,,,,,,,,Matches
Jack Henry-Francis,ieIRL,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Josh Robinson,engENG,DF,19,0,0,,,,,,,,,,,,,,,,Matches
Michal Rosiak,plPOL,MF,18,0,0,,,,,,,,,,,,,,,,Matches
Jimi Gower,engENG,MF,19,0,0,,,,,,,,,,,,,,,,Matches
