team,rank,country,level,elo,from,to,league
Arsenal,1.0,ENG,1,2053.04199219,2026-05-11,2026-05-18,ENG-Premier League
Bayern,2.0,GER,1,2008.38562012,2026-05-10,2026-05-30,GER-Bundesliga
Barcelona,3.0,ESP,1,1973.8034668,2026-05-11,2026-05-13,ESP-La Liga
Man City,4.0,ENG,1,1967.23547363,2026-05-10,2026-05-13,ENG-Premier League
Paris SG,5.0,FRA,1,1964.54919434,2026-05-11,2026-05-13,FRA-Ligue 1
Liverpool,6.0,ENG,1,1925.0925293,2026-05-10,2026-05-15,ENG-Premier League
Real Madrid,7.0,ESP,1,1920.54162598,2026-05-11,2026-05-14,ESP-La Liga
Man United,8.0,ENG,1,1896.59924316,2026-05-10,2026-05-17,ENG-Premier League
Inter,9.0,ITA,1,1892.42724609,2026-05-10,2026-05-17,ITA-Serie A
Aston Villa,10.0,ENG,1,1874.75610352,2026-05-11,2026-05-15,ENG-Premier League
Bournemouth,11.0,ENG,1,1858.42456055,2026-05-10,2026-05-30,ENG-Premier League
Brighton,12.0,ENG,1,1854.48791504,2026-05-10,2026-05-17,ENG-Premier League
Atletico,13.0,ESP,1,1851.52209473,2026-05-10,2026-05-12,ESP-La Liga
Sporting,14.0,POR,1,1847.61462402,2026-05-12,2026-05-30,
Forest,15.0,ENG,1,1841.94018555,2026-05-11,2026-05-17,ENG-Premier League
Brentford,16.0,ENG,1,1838.2644043,2026-05-10,2026-05-17,ENG-Premier League
Newcastle,17.0,ENG,1,1837.14758301,2026-05-11,2026-05-17,ENG-Premier League
Benfica,18.0,POR,1,1829.76745605,2026-05-12,2026-05-30,
Chelsea,19.0,ENG,1,1827.88745117,2026-05-10,2026-05-30,ENG-Premier League
Dortmund,20.0,GER,1,1826.88513184,2026-05-09,2026-05-30,GER-Bundesliga
Everton,21.0,ENG,1,1824.4173584,2026-05-11,2026-05-17,ENG-Premier League
Leverkusen,22.0,GER,1,1823.2364502,2026-05-10,2026-05-30,GER-Bundesliga
Porto,23.0,POR,1,1809.21972656,2026-05-11,2026-05-30,
Fulham,24.0,ENG,1,1807.66467285,2026-05-10,2026-05-17,ENG-Premier League
Crystal Palace,25.0,ENG,1,1799.09899902,2026-05-11,2026-05-13,ENG-Premier League
Leeds,26.0,ENG,1,1799.09423828,2026-05-12,2026-05-17,ENG-Premier League
Juventus,27.0,ITA,1,1789.74865723,2026-05-10,2026-05-17,ITA-Serie A
