Season,Season_Label,Team,Total_Player_Fixture_Absences,Total_Injury_Player_Fixture_Absences,Mean_Injury_Players_Missing_Per_Match,Total_Soft_Tissue_Missing,Mean_Soft_Tissue_Missing_Per_Match,Unique_Players_Missing,Max_Injury_Players_Missing_In_Match,Total_Matches
2022-2023,2022/23,Arsenal,127,126,3.32,54,1.42,17,5,38
2022-2023,2022/23,Aston Villa,92,90,2.37,48,1.26,14,5,38
2022-2023,2022/23,Bournemouth,109,106,2.79,54,1.42,18,6,38
2022-2023,2022/23,Brentford,106,102,2.68,52,1.37,13,6,38
2022-2023,2022/23,Brighton,102,99,2.61,32,0.84,17,5,38
2022-2023,2022/23,Chelsea,223,216,5.68,73,1.92,26,9,38
2022-2023,2022/23,Crystal Palace,113,107,2.82,47,1.24,18,5,38
2022-2023,2022/23,Everton,132,123,3.24,25,0.66,17,6,38
2022-2023,2022/23,Fulham,103,79,2.08,1,0.03,18,4,38
2022-2023,2022/23,Leeds,165,160,4.21,50,1.32,21,9,38
2022-2023,2022/23,Leicester,168,165,4.34,44,1.16,21,8,38
2022-2023,2022/23,Liverpool,221,218,5.74,127,3.34,21,7,38
2022-2023,2022/23,Manchester City,113,61,1.61,30,0.79,12,3,38
2022-2023,2022/23,Manchester United,270,254,6.68,30,0.79,27,8,38
2022-2023,2022/23,Newcastle,136,130,3.42,50,1.32,21,8,38
2022-2023,2022/23,Nottingham Forest,191,190,5.0,129,3.39,19,9,38
2022-2023,2022/23,Southampton,92,90,2.37,44,1.16,11,5,38
2022-2023,2022/23,Tottenham,128,117,3.08,60,1.58,16,5,38
2022-2023,2022/23,West Ham,56,56,1.47,16,0.42,11,5,38
2022-2023,2022/23,Wolves,126,113,2.97,18,0.47,13,4,38
