model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model A,0.1,0.31402317219336795,1.0,0.47795682578291276,0.5014518002322881,5,1717,0,786,2503,0.998006379585327
Model A,0.11,0.3147777332799359,1.0,0.4788303381053914,0.5031939605110337,11,1711,0,786,2497,0.9956140350877193
Model A,0.12,0.31540930979133225,1.0,0.4795607077486272,0.5046457607433217,16,1706,0,786,2492,0.9936204146730463
Model A,0.13,0.31680773881499397,1.0,0.48117539026629935,0.5078397212543554,27,1695,0,786,2481,0.9892344497607656
Model A,0.14,0.3179611650485437,1.0,0.48250460405156537,0.5104529616724739,36,1686,0,786,2472,0.9856459330143541
Model A,0.15,0.3188640973630832,1.0,0.4835435250692095,0.5124854819976771,43,1679,0,786,2465,0.9828548644338118
Model A,0.16,0.31988590057049715,0.9987277353689568,0.4845679012345679,0.5147529501467316,53,1669,1,785,2454,0.9784688995215312
Model A,0.17,0.3214578214578215,0.9987277353689568,0.48636926889714993,0.5182372707042229,65,1657,1,785,2442,0.9736842105263158
Model A,0.18,0.3231657048639736,0.9974554707379135,0.48816936488169366,0.5219565390855654,80,1642,2,784,2426,0.967304625199362
Model A,0.19,0.3250414593698176,0.9974554707379135,0.4903064415259537,0.5260215797359719,94,1628,2,784,2412,0.9617224880382775
Model A,0.2,0.32582394659991654,0.9936386768447837,0.490732013823437,0.5275975033468983,106,1616,5,781,2397,0.9557416267942583
Model A,0.21,0.3273185060847671,0.9923664122137404,0.49226885452824237,0.5307360516353256,119,1603,6,780,2383,0.9501594896331739
Model A,0.22,0.3282828282828283,0.9923664122137404,0.49335863377609107,0.5327685719605287,126,1596,6,780,2376,0.9473684210526315
Model A,0.23,0.33092301148447467,0.989821882951654,0.496015301243226,0.5381745883980105,149,1573,8,778,2351,0.9374003189792663
Model A,0.24,0.33319002579535684,0.9860050890585241,0.4980719794344473,0.5426541124735129,171,1551,11,775,2326,0.9274322169059012
Model A,0.25,0.3352124891587164,0.9834605597964376,0.5,0.5466083286787067,189,1533,13,773,2306,0.919457735247209
Model A,0.26,0.3378734622144112,0.9783715012722646,0.5022860875244938,0.5516131606245179,215,1507,17,769,2276,0.9074960127591707
Model A,0.27,0.3430493273542601,0.9732824427480916,0.5072944297082228,0.5612637533136509,257,1465,21,765,2230,0.8891547049441786
Model A,0.28,0.34858188472095153,0.9694656488549618,0.5127860026917901,0.5712601182718479,298,1424,24,762,2186,0.8716108452950558
Model A,0.29,0.3543417366946779,0.9656488549618321,0.5184426229508197,0.581256483230045,339,1383,27,759,2142,0.854066985645933
Model A,0.3,0.3595238095238095,0.960559796437659,0.5232155232155232,0.5897456357333475,377,1345,31,755,2100,0.8373205741626795
Model A,0.31,0.36808614782183063,0.9567430025445293,0.5316366207140333,0.6035166812954934,431,1291,34,752,2043,0.8145933014354066
Model A,0.32,0.373,0.9491094147582697,0.5355348169418521,0.6104432091212951,468,1254,40,746,2000,0.7974481658692185
Model A,0.33,0.38080495356037153,0.9389312977099237,0.5418502202643172,0.621033593105833,522,1200,48,738,1938,0.7727272727272727
Model A,0.34,0.38371474188398086,0.9173027989821882,0.5410881801125703,0.6224144656931847,564,1158,65,721,1879,0.7492025518341308
Model A,0.35,0.3883758826724606,0.9096692111959288,0.5443471640654739,0.6278891932866985,596,1126,71,715,1841,0.7340510366826156
